_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
5119818e-b4e0-44e7-8c92-38b6d7fb2486,GCA010,Agroecossistemas II,4,60,33-DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL - CERRO LARGO - 2010/1,3,Sim,Não,Cerro Largo,4520,5000386,DESENVOLVIMENTO RURAL E GESTÃO AGROINDUSTRIAL,INTEGRAL,Não,Não,2020-01-21
20245fa2-afeb-4e2f-bc4e-0a6a8b4073fe,GCA011,Processamento de alimentos de origem vegetal,4,60,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,7,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
f566cdb4-a6fd-4079-937b-0d9b37cc7d24,GCA012,Análise de alimentos,4,60,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,7,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
5356c9e8-ef6f-4024-9ede-165362594f03,GCA013,Bioquímica de alimentos,6,90,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,6,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
e62c0560-e559-4fd8-9c82-68b96d35119d,GCA014,Processamento de alimentos de origem animal,4,60,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,8,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
aee7ad4f-80fb-41a9-bb65-4a015d7ebda7,GCA015,Embalagem de alimentos,3,45,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,9,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
34a78964-23b8-46b0-a760-25d7d66f2c41,GCA015,Embalagem de alimentos,3,45,75-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2016/1,9,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Sim,Sim,2020-01-21
6d6218c0-7f98-46ba-b1c2-c9e3d6ec965f,GCA016,Simulação e controle de processos da indústria de alimentos,4,60,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,10,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
759025a6-152f-4300-b1b9-859c01cb064b,GCA017,Projetos da indústria de alimentos,3,45,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,10,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
a027fba6-e43f-4744-ba94-82f00333309a,GCA020,Mecânica dos solos,4,60,31-ENGENHARIA AMBIENTAL - CERRO LARGO - 2010/1,6,Sim,Não,Cerro Largo,4300,5000389,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Não,Não,2020-01-21
8ec74c1a-f860-4d38-a0d2-226854f8a93c,GCA020,Mecânica dos solos,4,60,35-ENGENHARIA AMBIENTAL - ERECHIM - 2010/2,6,Sim,Não,Erechim,5302,1125800,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Não,Não,2020-01-21
7f59abb7-5ea8-4270-939f-4af529931bd2,GCA020,Mecânica dos solos,4,60,58-ENGENHARIA AMBIENTAL E SANITÁRIA - CERRO LARGO - 2013/1,6,Sim,Não,Cerro Largo,4300,5000389,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Sim,Sim,2020-01-21
fae62141-5f81-45de-8f38-18806475a80e,GCA020,Mecânica dos solos,4,60,3-ENGENHARIA AMBIENTAL - CHAPECÓ - 2010/1,6,Sim,Não,Chapecó,1301,5000390,ENGENHARIA AMBIENTAL E SANITÁRIA,INTEGRAL,Não,Não,2020-01-21
11d89447-8071-473a-908d-bb86b551f81c,GCA021,Higiene e sanificação da indústria de alimentos,3,45,20-ENGENHARIA DE ALIMENTOS - LARANJEIRAS DO SUL - 2010/1,6,Sim,Não,Laranjeiras do Sul,2310,5000391,ENGENHARIA DE ALIMENTOS,INTEGRAL,Não,Sim,2020-01-21
d2d1fd1c-928c-4d17-8b6b-45179b015952,GCA022,Piscicultura continental I,3,45,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
fefae7f6-403f-494e-ba90-04a91cd46c50,GCA022,Piscicultura continental I,3,45,92-CIÊNCIAS BIOLÓGICAS - LARANJEIRAS DO SUL – 2019/1 ,0,Não,Sim,Laranjeiras do Sul,2202,1455377,CIÊNCIAS BIOLÓGICAS,INTEGRAL,Sim,Sim,2020-01-21
285e6b50-63e0-49b7-8619-10e8d71abef1,GCA022,Piscicultura continental I,3,45,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,6,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
5deb6a8b-8422-4c99-857d-d4ec9447bc58,GCA022,Piscicultura continental I,3,45,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017/1,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
a02cc4b9-be2e-4637-a14e-402501dcf1e6,GCA023,Piscicultura continental II,3,45,92-CIÊNCIAS BIOLÓGICAS - LARANJEIRAS DO SUL – 2019/1 ,0,Não,Sim,Laranjeiras do Sul,2202,1455377,CIÊNCIAS BIOLÓGICAS,INTEGRAL,Sim,Sim,2020-01-21
81cc6012-29be-4b0f-8620-ba817b7e5d08,GCA023,Piscicultura continental II,3,45,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017/1,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
cedc900b-a6cd-44d3-9963-aed41ad6a33a,GCA023,Piscicultura continental II,3,45,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,0,Não,Sim,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
c4086bfc-955f-4ddf-a104-9aecf7e413f3,GCA023,Piscicultura continental II,3,45,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,7,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
ba6791c8-6b15-484c-84aa-0a20a527f77e,GCA024,Agroecologia,5,75,"24-INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS NATURAIS, MATEMÁTICA E CIÊNCIAS AGRÁRIAS - LARANJEIRAS DO SUL - 2010/1",7,Sim,Não,Laranjeiras do Sul,2540,5000395,"INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS NATURAIS, MATEMÁTICA E CIÊNCIAS AGRÁRIAS",INTEGRAL,Não,Sim,2020-01-21
